unique_id,subnational_wide,per_unit_impacts,emissions_reduction_impact,units,impact_time_frame,impact_page,intervention,mitigation_strategy_cat,sector,study_subject_type,study_subject_value,study_subject_units,impact_type,methodology,model,impact_components,subnational_context,subnational_name,subnational_country,subnational_page,gov_action_or_policy,policy_note,policy_page,units_available,synthesis_group,name,country,entity_type,iso,population,region,mitigation_stratcat_t2,mitigation_stratcat_t1,emissions_reduction_impact_orig,units_orig,year,impact_time_period_end,weight1,weight2,unit_conversion,er_impact_tco2,er_impact_tco2_annual,er_impact_tco2_annual_pc,short_strat,outlier,er_impact_std_w1,er_impact_std_w2
11360,Yes,No,17000,MgCO2eq,30,10,Natural gas-based district heating,"District heating/cooling, expansion",Electricity and heat,NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",Avoided energy consumption,City or Municipal Government,"Granby, MA",USA,10,No,NA,NA,No,sg_1,"Granby, MA",United States of America,City,USA,6110,North America,"District heating/cooling, expansion",Energy system operations,      NA,NA,2018,NA,0.65,0.95,1,17000,566.67,0.092744135,District heating/coo...,0,0.060283688,0.088106929
11360,Yes,No,21900,MgCO2eq,30,10,Natural gas-based district heating,"District heating/cooling, expansion",Electricity and heat,NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",Avoided energy consumption,City or Municipal Government,"Townsend, MA",USA,10,No,NA,NA,No,sg_1,"Townsend, MA",United States of America,City,USA,9127,North America,"District heating/cooling, expansion",Energy system operations,      NA,NA,2018,NA,0.65,0.95,1,21900,730,0.07998247,District heating/coo...,0,0.051988605,0.075983346
11360,Yes,No,46800,MgCO2eq,30,10,Natural gas-based district heating,"District heating/cooling, expansion",Electricity and heat,NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",Avoided energy consumption,City or Municipal Government,"Dover, MA",USA,10,No,NA,NA,No,sg_1,"Dover, MA",United States of America,City,USA,5923,North America,"District heating/cooling, expansion",Energy system operations,      NA,NA,2018,NA,0.65,0.95,1,46800,1560,0.263380044,District heating/coo...,0,0.171197029,0.250211042
11360,Yes,No,86100,MgCO2eq,30,10,Natural gas-based district heating,"District heating/cooling, expansion",Electricity and heat,NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",Avoided energy consumption,City or Municipal Government,"Gardiner, ME",USA,10,No,NA,NA,No,sg_1,"Gardiner, ME",United States of America,City,USA,5961,North America,"District heating/cooling, expansion",Energy system operations,      NA,NA,2018,NA,0.65,0.95,1,86100,2870,0.481462842,District heating/coo...,0,0.312950847,0.4573897
11360,Yes,No,98400,MgCO2eq,30,10,Natural gas-based district heating,"District heating/cooling, expansion",Electricity and heat,NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",Avoided energy consumption,City or Municipal Government,"Groton, MA",USA,10,No,NA,NA,No,sg_1,"Groton, MA",United States of America,City,USA,11315,North America,"District heating/cooling, expansion",Energy system operations,      NA,NA,2018,NA,0.65,0.95,1,98400,3280,0.289880689,District heating/coo...,0,0.188422448,0.275386655
11360,Yes,No,77300,MgCO2eq,30,10,Natural gas-based district heating,"District heating/cooling, expansion",Electricity and heat,NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",Avoided energy consumption,City or Municipal Government,"Rowley, MA",USA,10,No,NA,NA,No,sg_1,"Rowley, MA",United States of America,City,USA,6161,North America,"District heating/cooling, expansion",Energy system operations,      NA,NA,2018,NA,0.65,0.95,1,77300,2576.67,0.41822215,District heating/coo...,0,0.271844398,0.397311043
11360,Yes,No,64600,MgCO2eq,30,10,Natural gas-based district heating,"District heating/cooling, expansion",Electricity and heat,NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",Avoided energy consumption,City or Municipal Government,"Freeport, ME",USA,10,No,NA,NA,No,sg_1,"Freeport, ME",United States of America,City,USA,8737,North America,"District heating/cooling, expansion",Energy system operations,      NA,NA,2018,NA,0.65,0.95,1,64600,2153.33,0.246461409,District heating/coo...,0,0.160199916,0.234138339
11360,Yes,No,95800,MgCO2eq,30,10,Natural gas-based district heating,"District heating/cooling, expansion",Electricity and heat,NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",Avoided energy consumption,City or Municipal Government,"Belchertown, MA",USA,10,No,NA,NA,No,sg_1,"Belchertown, MA",United States of America,City,USA,15350,North America,"District heating/cooling, expansion",Energy system operations,      NA,NA,2018,NA,0.65,0.95,1,95800,3193.33,0.208034745,District heating/coo...,0,0.135222584,0.197633008
15448,Yes,No,40.1,kt CO2e,1,7,Banning incandescent lightbulbs and replacing with CFL,Energy efficiency measures,Buildings,Building Area,251.7,km^2,Potential/Ex Ante,Emissions accounting,NA,Energy consumption,City or Municipal Government,Toronto,Canada,1,Yes,Planned policies under the City of Toronto and Province of Ontario,5,Yes,sg_1,Toronto,Canada,City,CAN,2794356,North America,Energy efficiency measures,Building construction and improvement,      NA,NA,2013,2031,0.273333333,0.82,1000,40100,40100,0.014350355,Energy efficiency me...,0,0.00392243,0.011767291
15448,Yes,No,61.5,kt CO2e,1,7,Requiring ENERGYSTAR appliance,Energy efficiency measures,Buildings,Building Area,251.7,km^2,Potential/Ex Ante,Emissions accounting,NA,Energy consumption,City or Municipal Government,Toronto,Canada,1,Yes,Planned policies under the City of Toronto and Province of Ontario,5,Yes,sg_1,Toronto,Canada,City,CAN,2794356,North America,Energy efficiency measures,Building construction and improvement,      NA,NA,2013,2031,0.273333333,0.82,1000,61500,61500,0.022008649,Energy efficiency me...,0,0.006015697,0.018047092
15448,Yes,No,14.8,kt CO2e,1,7,Implement R2000 efficiency standards in 2012 Ontario Building Code,Energy efficiency measures,Buildings,Building Area,95.55,km^2,Potential/Ex Ante,Emissions accounting,NA,Energy consumption,City or Municipal Government,Toronto,Canada,1,Yes,Planned policies under the City of Toronto and Province of Ontario,5,Yes,sg_1,Toronto,Canada,City,CAN,2794356,North America,Energy efficiency measures,Building construction and improvement,      NA,NA,2013,2031,0.273333333,0.82,1000,14800,14800,0.00529639,Energy efficiency me...,0,0.00144768,0.00434304
15448,Yes,No,49.5,kt CO2e,1,7,Retrofit high-rise towers (Mayor's Tower Renewal Project),Retrofitting,Buildings,Building Area,76,km^2,Potential/Ex Ante,Emissions accounting,NA,Energy consumption,City or Municipal Government,Toronto,Canada,1,Yes,Planned policies under the City of Toronto and Province of Ontario,5,Yes,sg_1,Toronto,Canada,City,CAN,2794356,North America,Retrofitting,Building construction and improvement,      NA,NA,2013,2031,0.273333333,0.82,1000,49500,49500,0.017714278,Retrofitting,0,0.004841903,0.014525708
15448,Yes,No,0.3,kt CO2e,1,7,Green roof initiative to cover 10% of commercial buildings with green roofs,"Cool roof/facade, roof garden, green roof",Buildings,Building Area,8.013,km^2,Potential/Ex Ante,Emissions accounting,NA,Energy consumption,City or Municipal Government,Toronto,Canada,1,Yes,Planned policies under the City of Toronto and Province of Ontario,5,Yes,sg_1,Toronto,Canada,City,CAN,2794356,North America,"Cool roof/facade, roof garden, green roof",Building construction and improvement,      NA,NA,2013,2031,0.273333333,0.82,1000,300,300,0.000107359,"Cool roof/facade, ro...",0,2.93448651496087e-05,8.80345954488261e-05
15448,Yes,No,439,kt CO2e,1,7,Increase adoption of battery electric vehicles to 20% of private automobile VKT (emissions factor of 94 g CO2e/km),"Electric Mobility (EV, HEV)",Transport,NA,NA,NA,Potential/Ex Ante,Emissions accounting,NA,VKT,City or Municipal Government,Toronto,Canada,1,Yes,Planned policies under the City of Toronto and Province of Ontario,5,No,sg_1,Toronto,Canada,City,CAN,2794356,North America,"Electric Mobility (EV, HEV)",Clean vehicle transportation,      NA,NA,2013,2031,0.273333333,0.82,1000,439000,439000,0.157102388,Electric Mobility (E...,0,0.042941319,0.128823958
15448,Yes,No,25,kt CO2e,1,7,Increase length of bicycle lanes and bicycle supporting infrastructure,Non-motorized transport,Transport,NA,NA,NA,Potential/Ex Ante,Emissions accounting,NA,VKT,City or Municipal Government,Toronto,Canada,1,Yes,Planned policies under the City of Toronto and Province of Ontario,5,No,sg_1,Toronto,Canada,City,CAN,2794356,North America,Non-motorized transport,Alternative transportation modes,      NA,NA,2013,2031,0.273333333,0.82,1000,25000,25000,0.008946605,Non-motorized transport,0,0.002445405,0.007336216
15448,Yes,No,12,kt CO2e,1,7,Increase parking price by 10% to deter auto use,Travel demand management,Transport,NA,NA,NA,Potential/Ex Ante,Emissions accounting,NA,VKT,City or Municipal Government,Toronto,Canada,1,Yes,Planned policies under the City of Toronto and Province of Ontario,5,No,sg_1,Toronto,Canada,City,CAN,2794356,North America,Travel demand management,Transportation system management,      NA,NA,2013,2031,0.273333333,0.82,1000,12000,12000,0.004294371,Travel demand manage...,0,0.001173795,0.003521384
15448,Yes,No,149.9,kt CO2e,1,8,Replacing all lightbulbs (incandescent and CFL) with LEDs,Energy efficiency measures,Buildings,Building Area,251.7,km^2,Potential/Ex Ante,Emissions accounting,NA,Energy consumption,City or Municipal Government,Toronto,Canada,1,No,NA,NA,Yes,sg_1,Toronto,Canada,City,CAN,2794356,North America,Energy efficiency measures,Building construction and improvement,      NA,NA,2013,2031,0.273333333,0.82,1000,149900,149900,0.053643845,Energy efficiency me...,0,0.014662651,0.043987953
15448,Yes,No,61.5,kt CO2e,1,8,All appliances EnergyStar rated,Energy efficiency measures,Buildings,Building Area,251.7,km^2,Potential/Ex Ante,Emissions accounting,NA,Energy consumption,City or Municipal Government,Toronto,Canada,1,No,NA,NA,Yes,sg_1,Toronto,Canada,City,CAN,2794356,North America,Energy efficiency measures,Building construction and improvement,      NA,NA,2013,2031,0.273333333,0.82,1000,61500,61500,0.022008649,Energy efficiency me...,0,0.006015697,0.018047092
15448,Yes,No,2720.8,kt CO2e,1,8,All pre-2012 buildings retrofitted,Retrofitting,Buildings,Building Area,251.7,km^2,Potential/Ex Ante,Emissions accounting,NA,Energy consumption,City or Municipal Government,Toronto,Canada,1,No,NA,NA,Yes,sg_1,Toronto,Canada,City,CAN,2794356,North America,Retrofitting,Building construction and improvement,      NA,NA,2013,2031,0.273333333,0.82,1000,2720800,2720800,0.97367694,Retrofitting,0,0.266138364,0.798415091
15448,Yes,No,425.3,kt CO2e,1,8,Post-2012 buildings follow energy efficiency standards,Energy efficiency measures,Buildings,Building Area,156.13,km^2,Potential/Ex Ante,Emissions accounting,NA,Energy consumption,City or Municipal Government,Toronto,Canada,1,No,NA,NA,Yes,sg_1,Toronto,Canada,City,CAN,2794356,North America,Energy efficiency measures,Building construction and improvement,      NA,NA,2013,2031,0.273333333,0.82,1000,425300,425300,0.152199648,Energy efficiency me...,0,0.041601237,0.124803711
15448,Yes,No,61.3,kt CO2e,1,8,Post-2012 homes built to R2000 standards with BTES systems,Energy efficiency measures,Buildings,Building Area,95.55,km^2,Potential/Ex Ante,Emissions accounting,NA,Energy consumption,City or Municipal Government,Toronto,Canada,1,No,NA,NA,Yes,sg_1,Toronto,Canada,City,CAN,2794356,North America,Energy efficiency measures,Building construction and improvement,      NA,NA,2013,2031,0.273333333,0.82,1000,61300,61300,0.021937076,Energy efficiency me...,0,0.005996134,0.017988402
15448,Yes,No,445.4,kt CO2e,1,8,Pre-2012 homes outfitted with solar water heating,"Solar PV thermal, Solar PV cooling, Solar trigeneration CPVT",Buildings,Building Area,95.55,km^2,Potential/Ex Ante,Emissions accounting,NA,Energy consumption,City or Municipal Government,Toronto,Canada,1,No,NA,NA,Yes,sg_1,Toronto,Canada,City,CAN,2794356,North America,"Solar PV thermal, Solar PV cooling, Solar trigeneration CPVT",Building energy and heat systems,      NA,NA,2013,2031,0.273333333,0.82,1000,445400,445400,0.159392719,"Solar PV thermal, So...",0,0.043567343,0.130702029
15448,Yes,No,790.8,kt CO2e,1,8,Pre-2012 homes outfitted with ground source heat pumps,"Geothermal heat pumps, ground source heat pumps",Buildings,Building Area,95.55,km^2,Potential/Ex Ante,Emissions accounting,NA,Energy consumption,City or Municipal Government,Toronto,Canada,1,No,NA,NA,Yes,sg_1,Toronto,Canada,City,CAN,2794356,North America,"Geothermal heat pumps, ground source heat pumps",Building energy and heat systems,      NA,NA,2013,2031,0.273333333,0.82,1000,790800,790800,0.282999017,Geothermal heat pump...,0,0.077353065,0.232059194
15448,Yes,No,222.8,kt CO2e,1,8,Half of apartment buildings outfitted with an aquifer thermal energy storage (ATES) system,"Energy storage, batteries",Buildings,Building Area,38,km^2,Potential/Ex Ante,Emissions accounting,NA,Energy consumption,City or Municipal Government,Toronto,Canada,1,No,NA,NA,Yes,sg_1,Toronto,Canada,City,CAN,2794356,North America,"Energy storage, batteries",Building energy and heat systems,      NA,NA,2013,2031,0.273333333,0.82,1000,222800,222800,0.079732146,"Energy storage, batt...",0,0.021793453,0.06538036
15448,Yes,No,966.3,kt CO2e,1,8,Commercial solar air heating,"Solar PV thermal, Solar PV cooling, Solar trigeneration CPVT",Buildings,Building Area,80.13,km^2,Potential/Ex Ante,Emissions accounting,NA,Energy consumption,City or Municipal Government,Toronto,Canada,1,No,NA,NA,Yes,sg_1,Toronto,Canada,City,CAN,2794356,North America,"Solar PV thermal, Solar PV cooling, Solar trigeneration CPVT",Building energy and heat systems,      NA,NA,2013,2031,0.273333333,0.82,1000,966300,966300,0.345804185,"Solar PV thermal, So...",0,0.094519811,0.283559432
15448,Yes,No,0.7,kt CO2e,1,8,Green roof initiative to cover 25% of commercial buildings with green roofs,"Cool roof/facade, roof garden, green roof",Buildings,Building Area,20.0325,km^2,Potential/Ex Ante,Emissions accounting,NA,Energy consumption,City or Municipal Government,Toronto,Canada,1,No,NA,NA,Yes,sg_1,Toronto,Canada,City,CAN,2794356,North America,"Cool roof/facade, roof garden, green roof",Building construction and improvement,      NA,NA,2013,2031,0.273333333,0.82,1000,700,700,0.000250505,"Cool roof/facade, ro...",0,6.84713520157537e-05,0.000205414
15448,Yes,No,686,kt CO2e,1,9,Planned LRT infrastructure changes to subway infrastructure,Public transport,Transport,NA,NA,NA,Potential/Ex Ante,Emissions accounting,NA,VKT,City or Municipal Government,Toronto,Canada,1,No,NA,NA,No,sg_1,Toronto,Canada,City,CAN,2794356,North America,Public transport,Alternative transportation modes,      NA,NA,2013,2031,0.273333333,0.82,1000,686000,686000,0.245494847,Public transport,0,0.067101925,0.201305775
15448,Yes,No,1731,kt CO2e,1,9,100% Battery electric vehicles (94 g CO2e/km),"Electric Mobility (EV, HEV)",Transport,NA,NA,NA,Potential/Ex Ante,Emissions accounting,NA,VKT,City or Municipal Government,Toronto,Canada,1,No,NA,NA,No,sg_1,Toronto,Canada,City,CAN,2794356,North America,"Electric Mobility (EV, HEV)",Clean vehicle transportation,      NA,NA,2013,2031,0.273333333,0.82,1000,1731000,1731000,0.619462946,Electric Mobility (E...,0,0.169319872,0.507959616
15448,Yes,No,27,kt CO2e,1,9,Aggressive increase in length of bicycle lanes and bicycle supporting infrastructure,Non-motorized transport,Transport,NA,NA,NA,Potential/Ex Ante,Emissions accounting,NA,VKT,City or Municipal Government,Toronto,Canada,1,No,NA,NA,No,sg_1,Toronto,Canada,City,CAN,2794356,North America,Non-motorized transport,Alternative transportation modes,      NA,NA,2013,2031,0.273333333,0.82,1000,27000,27000,0.009662334,Non-motorized transport,0,0.002641038,0.007923114
15448,Yes,No,6.2,kt CO2e,1,9,10% Increase in parking Price,Travel demand management,Transport,NA,NA,NA,Potential/Ex Ante,Emissions accounting,NA,VKT,City or Municipal Government,Toronto,Canada,1,No,NA,NA,No,sg_1,Toronto,Canada,City,CAN,2794356,North America,Travel demand management,Transportation system management,      NA,NA,2013,2031,0.273333333,0.82,1000,6200,6200,0.002218758,Travel demand manage...,0,0.000606461,0.001819382
15448,Yes,No,134,kt CO2e,1,9,VMT tax,Travel demand management,Transport,NA,NA,NA,Potential/Ex Ante,Emissions accounting,NA,VKT,City or Municipal Government,Toronto,Canada,1,No,NA,NA,No,sg_1,Toronto,Canada,City,CAN,2794356,North America,Travel demand management,Transportation system management,      NA,NA,2013,2031,0.273333333,0.82,1000,134000,134000,0.047953804,Travel demand manage...,0,0.013107373,0.039322119
15448,Yes,No,19,kt CO2e,1,9,Freeway toll,Travel demand management,Transport,NA,NA,NA,Potential/Ex Ante,Emissions accounting,NA,VKT,City or Municipal Government,Toronto,Canada,1,No,NA,NA,No,sg_1,Toronto,Canada,City,CAN,2794356,North America,Travel demand management,Transportation system management,      NA,NA,2013,2031,0.273333333,0.82,1000,19000,19000,0.00679942,Travel demand manage...,0,0.001858508,0.005575524
21014,Yes,No,479990,tCO2e,18,7,Biogas generation from domestic solid waste,"Waste to energy, energy from waste",Waste,Municipal Solid Waste,187402,tons,Potential/Ex Ante,Waste characterization and landfill gas generation modeling (Mexico LFG Model Version 2.0),Mexico LFG Model Version 2.0,Avoided landfill methane emissions,City or Municipal Government,Mexicali,Mexico,2,No,NA,NA,Yes,sg_1,Mexicali,Mexico,City,MEX,1032686,Latin America and Caribbean,"Waste to energy, energy from waste",Waste and water treatment practices,      NA,NA,2014,2030,0.613333333,0.84,1,479990,26666.11,0.02582209,"Waste to energy, ene...",0,0.015837549,0.021690556
21014,Yes,No,4543515,tCO2e,18,7,Biogas generation from domestic solid waste,"Waste to energy, energy from waste",Waste,Municipal Solid Waste,511000,tons,Potential/Ex Ante,Waste characterization and landfill gas generation modeling (Mexico LFG Model Version 2.0),Mexico LFG Model Version 2.0,Avoided landfill methane emissions,City or Municipal Government,Tijuana,Mexico,2,No,NA,NA,Yes,sg_1,Tijuana,Mexico,City,MEX,1922523,Latin America and Caribbean,"Waste to energy, energy from waste",Waste and water treatment practices,      NA,NA,2014,2030,0.613333333,0.84,1,4543515,252417.5,0.131294918,"Waste to energy, ene...",0,0.08052755,0.110287731
21014,Yes,No,96903,tCO2e,18,7,Biogas generation from domestic solid waste,"Waste to energy, energy from waste",Waste,Municipal Solid Waste,34474,tons,Potential/Ex Ante,Waste characterization and landfill gas generation modeling (Mexico LFG Model Version 2.0),Mexico LFG Model Version 2.0,Avoided landfill methane emissions,City or Municipal Government,San Quintin,Mexico,2,No,NA,NA,Yes,sg_1,San Quintin,Mexico,City,MEX,4777,Latin America and Caribbean,"Waste to energy, energy from waste",Waste and water treatment practices,      NA,NA,2014,2030,0.613333333,0.84,1,96903,5383.5,1.126962529,"Waste to energy, ene...",0,0.691203684,0.946648524
21483,Yes,No,3206,tCO2/yr,1,8,Heat-only biomass boilers installed in each building,Other renewable energy,Buildings,NA,NA,NA,Potential/Ex Ante,Emissions accounting,NA,"Energy fuel replacement, energy consumption",City or Municipal Government,Koriyama City,Japan,5,No,NA,NA,No,sg_1,Koriyama City,Japan,City,JPN,322996,East Asia and the Pacific,Other renewable energy,Building energy and heat systems,      NA,NA,2021,NA,0.316666667,0.95,1,3206,3206,0.00992582,Other renewable energy,0,0.003143176,0.009429529
21483,Yes,No,3034,tCO2/yr,1,8,One-heat only boiler and district heating system installed,"District heating/cooling, expansion",Buildings,NA,NA,NA,Potential/Ex Ante,Emissions accounting,NA,"Energy fuel replacement, energy consumption",City or Municipal Government,Koriyama City,Japan,5,No,NA,NA,No,sg_1,Koriyama City,Japan,City,JPN,322996,East Asia and the Pacific,"District heating/cooling, expansion",Building energy and heat systems,      NA,NA,2021,NA,0.316666667,0.95,1,3034,3034,0.009393305,District heating/coo...,0,0.002974547,0.00892364
21483,Yes,No,2909,tCO2/yr,1,8,"Combined heat and power system and DHS were installed, heat load following operation","Cogeneration, combined heat and power, tri-generation, combined heat, cooling, and power",Buildings,NA,NA,NA,Potential/Ex Ante,Emissions accounting,NA,"Energy fuel replacement, energy consumption",City or Municipal Government,Koriyama City,Japan,5,No,NA,NA,No,sg_1,Koriyama City,Japan,City,JPN,322996,East Asia and the Pacific,"Cogeneration, combined heat and power, tri-generation, combined heat, cooling, and power",Building energy and heat systems,      NA,NA,2021,NA,0.316666667,0.95,1,2909,2909,0.009006303,"Cogeneration, combin...",0,0.002851996,0.008555988
22608,Yes,No,209.7,million tCO2,30,10,Cap and trade (under the Clean Power Plan),"Emissions trading, cap-and-trade, carbon tax",Electricity and heat,NA,NA,NA,Potential/Ex Ante,Energy systems modeling,MARKAL,"Power generation, Includes emissions from electricity generation, residential, commercial, industrial, and transportation sectors, and CO2 sequestered during biomass growing.",Regional Government,Indiana,USA,NA,No,NA,NA,No,sg_1,Indiana,United States of America,Region,USA,6785528,North America,"Emissions trading, cap-and-trade, carbon tax","Emissions trading, cap-and-trade, carbon tax",      NA,NA,2016,2036,0.6,0.8,1000000,209700000,6990000,1.030133543,"Emissions trading, c...",0,0.618080126,0.824106834
22608,Yes,No,214.72,million tCO2,30,10,Carbon tax,"Emissions trading, cap-and-trade, carbon tax",Electricity and heat,NA,NA,NA,Potential/Ex Ante,Energy systems modeling,MARKAL,"Power generation, Includes emissions from electricity generation, residential, commercial, industrial, and transportation sectors, and CO2 sequestered during biomass growing.",Regional Government,Indiana,USA,NA,No,NA,NA,No,sg_1,Indiana,United States of America,Region,USA,6785528,North America,"Emissions trading, cap-and-trade, carbon tax","Emissions trading, cap-and-trade, carbon tax",      NA,NA,2016,2036,0.6,0.8,1000000,214720000,7157333.33,1.054793869,"Emissions trading, c...",0,0.632876321,0.843835095
