unique_id,subnational_wide,per_unit_impacts,emissions_reduction_impact,units,impact_time_frame,impact_time_period,any_error_metrics,impact_page,intervention,mitigation_strategy_cat,sector,study_subject_general,study_subject_detail,study_subject_type,study_subject_value,study_subject_units,impact_type,methodology,model,emissions_factors,emissions_factors_page,survey,survey_respondents,impact_components,subnational_context,subnational_name,subnational_country,subnational_page,gov_action_or_policy,policy_note,policy_page,units_available,synthesis_group,name,country,entity_type,iso,lat,lng,population,population_year,region,mitigation_stratcat_t2,mitigation_stratcat_t1
11360,Yes,No,429000,MgCO2eq,30,NA,No,10,Biomass-based district heating,"District heating/cooling, expansion",Electricity and heat,All residents,"Top 10 locations by carbon abatement cost, for residential and commercial buildings in all New England and New York state towns",NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",No,NA,No,NA,Avoided energy consumption,City or Municipal Government,"Plattekill, NY",USA,10,No,NA,NA,No,sg_1,"Plattekill, NY",United States of America,City,USA,41.6165972,-74.0760889,10424,2020,North America,"District heating/cooling, expansion",Energy system operations
11360,Yes,No,330000,MgCO2eq,30,NA,No,10,Biomass-based district heating,"District heating/cooling, expansion",Electricity and heat,All residents,"Top 10 locations by carbon abatement cost, for residential and commercial buildings in all New England and New York state towns",NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",No,NA,No,NA,Avoided energy consumption,City or Municipal Government,"Brownville, NY",USA,10,No,NA,NA,No,sg_1,"Brownville, NY",United States of America,City,USA,44.00222,-75.98306,6263,2010,North America,"District heating/cooling, expansion",Energy system operations
11360,Yes,No,343000,MgCO2eq,30,NA,No,10,Biomass-based district heating,"District heating/cooling, expansion",Electricity and heat,All residents,"Top 10 locations by carbon abatement cost, for residential and commercial buildings in all New England and New York state towns",NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",No,NA,No,NA,Avoided energy consumption,City or Municipal Government,"Schuylerville, NY",USA,10,No,NA,NA,No,sg_1,"Schuylerville, NY",United States of America,City,USA,43.10083,-73.58139,1370,2020,North America,"District heating/cooling, expansion",Energy system operations
11360,Yes,No,170000,MgCO2eq,30,NA,No,10,Biomass-based district heating,"District heating/cooling, expansion",Electricity and heat,All residents,"Top 10 locations by carbon abatement cost, for residential and commercial buildings in all New England and New York state towns",NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",No,NA,No,NA,Avoided energy consumption,City or Municipal Government,"Alton, NH",USA,10,No,NA,NA,No,sg_1,"Alton, NH",United States of America,City,USA,43.45417,-71.21972,5894,2020,North America,"District heating/cooling, expansion",Energy system operations
11360,Yes,No,288000,MgCO2eq,30,NA,No,10,Biomass-based district heating,"District heating/cooling, expansion",Electricity and heat,All residents,"Top 10 locations by carbon abatement cost, for residential and commercial buildings in all New England and New York state towns",NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",No,NA,No,NA,Avoided energy consumption,City or Municipal Government,"Gardiner, NY",USA,10,No,NA,NA,No,sg_1,"Gardiner, NY",United States of America,City,USA,41.68,-74.15111,5610,2020,North America,"District heating/cooling, expansion",Energy system operations
11360,Yes,No,106000,MgCO2eq,30,NA,No,10,Biomass-based district heating,"District heating/cooling, expansion",Electricity and heat,All residents,"Top 10 locations by carbon abatement cost, for residential and commercial buildings in all New England and New York state towns",NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",No,NA,No,NA,Avoided energy consumption,City or Municipal Government,"Fort Ann, NY",USA,10,No,NA,NA,No,sg_1,"Fort Ann, NY",United States of America,City,USA,43.46444,-73.53861,6190,2010,North America,"District heating/cooling, expansion",Energy system operations
11360,Yes,No,17000,MgCO2eq,30,NA,No,10,Natural gas-based district heating,"District heating/cooling, expansion",Electricity and heat,All residents,"Top 10 locations by carbon abatement cost, for residential and commercial buildings in all New England and New York state towns",NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",No,NA,No,NA,Avoided energy consumption,City or Municipal Government,"Granby, MA",USA,10,No,NA,NA,No,sg_1,"Granby, MA",United States of America,City,USA,42.25639,-72.51667,6110,2020,North America,"District heating/cooling, expansion",Energy system operations
11360,Yes,No,21900,MgCO2eq,30,NA,No,10,Natural gas-based district heating,"District heating/cooling, expansion",Electricity and heat,All residents,"Top 10 locations by carbon abatement cost, for residential and commercial buildings in all New England and New York state towns",NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",No,NA,No,NA,Avoided energy consumption,City or Municipal Government,"Townsend, MA",USA,10,No,NA,NA,No,sg_1,"Townsend, MA",United States of America,City,USA,42.66667,-71.70556,9127,2020,North America,"District heating/cooling, expansion",Energy system operations
11360,Yes,No,46800,MgCO2eq,30,NA,No,10,Natural gas-based district heating,"District heating/cooling, expansion",Electricity and heat,All residents,"Top 10 locations by carbon abatement cost, for residential and commercial buildings in all New England and New York state towns",NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",No,NA,No,NA,Avoided energy consumption,City or Municipal Government,"Dover, MA",USA,10,No,NA,NA,No,sg_1,"Dover, MA",United States of America,City,USA,42.24583,-71.28333,5923,2020,North America,"District heating/cooling, expansion",Energy system operations
11360,Yes,No,50000,MgCO2eq,30,NA,No,10,Natural gas-based district heating,"District heating/cooling, expansion",Electricity and heat,All residents,"Top 10 locations by carbon abatement cost, for residential and commercial buildings in all New England and New York state towns",NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",No,NA,No,NA,Avoided energy consumption,City or Municipal Government,"Norton Center, MA",USA,10,No,NA,NA,No,sg_1,"Norton Center, MA",United States of America,City,USA,41.96972,-71.18361,2677,2020,North America,"District heating/cooling, expansion",Energy system operations
11360,Yes,No,86100,MgCO2eq,30,NA,No,10,Natural gas-based district heating,"District heating/cooling, expansion",Electricity and heat,All residents,"Top 10 locations by carbon abatement cost, for residential and commercial buildings in all New England and New York state towns",NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",No,NA,No,NA,Avoided energy consumption,City or Municipal Government,"Gardiner, ME",USA,10,No,NA,NA,No,sg_1,"Gardiner, ME",United States of America,City,USA,44.22917,-69.77361,5961,2020,North America,"District heating/cooling, expansion",Energy system operations
11360,Yes,No,98400,MgCO2eq,30,NA,No,10,Natural gas-based district heating,"District heating/cooling, expansion",Electricity and heat,All residents,"Top 10 locations by carbon abatement cost, for residential and commercial buildings in all New England and New York state towns",NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",No,NA,No,NA,Avoided energy consumption,City or Municipal Government,"Groton, MA",USA,10,No,NA,NA,No,sg_1,"Groton, MA",United States of America,City,USA,42.61111,-71.575,11315,2020,North America,"District heating/cooling, expansion",Energy system operations
11360,Yes,No,114000,MgCO2eq,30,NA,No,10,Natural gas-based district heating,"District heating/cooling, expansion",Electricity and heat,All residents,"Top 10 locations by carbon abatement cost, for residential and commercial buildings in all New England and New York state towns",NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",No,NA,No,NA,Avoided energy consumption,City or Municipal Government,"Monson Center, MA",USA,10,No,NA,NA,No,sg_1,"Monson Center, MA",United States of America,City,USA,42.09917,-72.31,1952,2020,North America,"District heating/cooling, expansion",Energy system operations
11360,Yes,No,77300,MgCO2eq,30,NA,No,10,Natural gas-based district heating,"District heating/cooling, expansion",Electricity and heat,All residents,"Top 10 locations by carbon abatement cost, for residential and commercial buildings in all New England and New York state towns",NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",No,NA,No,NA,Avoided energy consumption,City or Municipal Government,"Rowley, MA",USA,10,No,NA,NA,No,sg_1,"Rowley, MA",United States of America,City,USA,42.71667,-70.87917,6161,2020,North America,"District heating/cooling, expansion",Energy system operations
11360,Yes,No,64600,MgCO2eq,30,NA,No,10,Natural gas-based district heating,"District heating/cooling, expansion",Electricity and heat,All residents,"Top 10 locations by carbon abatement cost, for residential and commercial buildings in all New England and New York state towns",NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",No,NA,No,NA,Avoided energy consumption,City or Municipal Government,"Freeport, ME",USA,10,No,NA,NA,No,sg_1,"Freeport, ME",United States of America,City,USA,43.84389,-70.10167,8737,2020,North America,"District heating/cooling, expansion",Energy system operations
11360,Yes,No,95800,MgCO2eq,30,NA,No,10,Natural gas-based district heating,"District heating/cooling, expansion",Electricity and heat,All residents,"Top 10 locations by carbon abatement cost, for residential and commercial buildings in all New England and New York state towns",NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",No,NA,No,NA,Avoided energy consumption,City or Municipal Government,"Belchertown, MA",USA,10,No,NA,NA,No,sg_1,"Belchertown, MA",United States of America,City,USA,42.27694,-72.40139,15350,2020,North America,"District heating/cooling, expansion",Energy system operations
15448,Yes,No,40.1,kt CO2e,1,2031,No,7,Banning incandescent lightbulbs and replacing with CFL,Energy efficiency measures,Buildings,All Buildings,251.7 km^2 gross floor area,Building Area,251.7,km^2,Potential/Ex Ante,Emissions accounting,NA,Yes,7,No,NA,Energy consumption,City or Municipal Government,Toronto,Canada,1,Yes,Planned policies under the City of Toronto and Province of Ontario,5,Yes,sg_1,Toronto,Canada,City,CAN,43.74167,-79.37333,2794356,2021,North America,Energy efficiency measures,Building construction and improvement
15448,Yes,No,61.5,kt CO2e,1,2031,No,7,Requiring ENERGYSTAR appliance,Energy efficiency measures,Buildings,All Buildings,251.7 km^2 gross floor area,Building Area,251.7,km^2,Potential/Ex Ante,Emissions accounting,NA,Yes,7,No,NA,Energy consumption,City or Municipal Government,Toronto,Canada,1,Yes,Planned policies under the City of Toronto and Province of Ontario,5,Yes,sg_1,Toronto,Canada,City,CAN,43.74167,-79.37333,2794356,2021,North America,Energy efficiency measures,Building construction and improvement
15448,Yes,No,14.8,kt CO2e,1,2031,No,7,Implement R2000 efficiency standards in 2012 Ontario Building Code,Energy efficiency measures,Buildings,Some Buildings,"Low rise residential buildings buildings, 95.55 km^2 gross floor area",Building Area,95.55,km^2,Potential/Ex Ante,Emissions accounting,NA,Yes,7,No,NA,Energy consumption,City or Municipal Government,Toronto,Canada,1,Yes,Planned policies under the City of Toronto and Province of Ontario,5,Yes,sg_1,Toronto,Canada,City,CAN,43.74167,-79.37333,2794356,2021,North America,Energy efficiency measures,Building construction and improvement
15448,Yes,No,49.5,kt CO2e,1,2031,No,7,Retrofit high-rise towers (Mayor's Tower Renewal Project),Retrofitting,Buildings,Some Buildings,"Existing 1960s high rise towers, apartments, 76 km^2",Building Area,76,km^2,Potential/Ex Ante,Emissions accounting,NA,Yes,7,No,NA,Energy consumption,City or Municipal Government,Toronto,Canada,1,Yes,Planned policies under the City of Toronto and Province of Ontario,5,Yes,sg_1,Toronto,Canada,City,CAN,43.74167,-79.37333,2794356,2021,North America,Retrofitting,Building construction and improvement
15448,Yes,No,0.3,kt CO2e,1,2031,No,7,Green roof initiative to cover 10% of commercial buildings with green roofs,"Cool roof/facade, roof garden, green roof",Buildings,Some Buildings,"10% of commercial buildings, 80.13 commercial building area",Building Area,8.013,km^2,Potential/Ex Ante,Emissions accounting,NA,Yes,7,No,NA,Energy consumption,City or Municipal Government,Toronto,Canada,1,Yes,Planned policies under the City of Toronto and Province of Ontario,5,Yes,sg_1,Toronto,Canada,City,CAN,43.74167,-79.37333,2794356,2021,North America,"Cool roof/facade, roof garden, green roof",Building construction and improvement
15448,Yes,No,439,kt CO2e,1,2031,No,7,Increase adoption of battery electric vehicles to 20% of private automobile VKT (emissions factor of 94 g CO2e/km),"Electric Mobility (EV, HEV)",Transport,All Residents,NA,NA,NA,NA,Potential/Ex Ante,Emissions accounting,NA,Yes,7,No,NA,VKT,City or Municipal Government,Toronto,Canada,1,Yes,Planned policies under the City of Toronto and Province of Ontario,5,No,sg_1,Toronto,Canada,City,CAN,43.74167,-79.37333,2794356,2021,North America,"Electric Mobility (EV, HEV)",Clean vehicle transportation
15448,Yes,No,25,kt CO2e,1,2031,No,7,Increase length of bicycle lanes and bicycle supporting infrastructure,Non-motorized transport,Transport,All Residents,NA,NA,NA,NA,Potential/Ex Ante,Emissions accounting,NA,Yes,7,No,NA,VKT,City or Municipal Government,Toronto,Canada,1,Yes,Planned policies under the City of Toronto and Province of Ontario,5,No,sg_1,Toronto,Canada,City,CAN,43.74167,-79.37333,2794356,2021,North America,Non-motorized transport,Alternative transportation modes
15448,Yes,No,12,kt CO2e,1,2031,No,7,Increase parking price by 10% to deter auto use,Travel demand management,Transport,All Residents,NA,NA,NA,NA,Potential/Ex Ante,Emissions accounting,NA,Yes,7,No,NA,VKT,City or Municipal Government,Toronto,Canada,1,Yes,Planned policies under the City of Toronto and Province of Ontario,5,No,sg_1,Toronto,Canada,City,CAN,43.74167,-79.37333,2794356,2021,North America,Travel demand management,Transportation system management
15448,Yes,No,149.9,kt CO2e,1,2031,No,8,Replacing all lightbulbs (incandescent and CFL) with LEDs,Energy efficiency measures,Buildings,All Buildings,251.7 km^2 gross floor area,Building Area,251.7,km^2,Potential/Ex Ante,Emissions accounting,NA,Yes,7,No,NA,Energy consumption,City or Municipal Government,Toronto,Canada,1,No,NA,NA,Yes,sg_1,Toronto,Canada,City,CAN,43.74167,-79.37333,2794356,2021,North America,Energy efficiency measures,Building construction and improvement
15448,Yes,No,61.5,kt CO2e,1,2031,No,8,All appliances EnergyStar rated,Energy efficiency measures,Buildings,All Buildings,251.7 km^2 gross floor area,Building Area,251.7,km^2,Potential/Ex Ante,Emissions accounting,NA,Yes,7,No,NA,Energy consumption,City or Municipal Government,Toronto,Canada,1,No,NA,NA,Yes,sg_1,Toronto,Canada,City,CAN,43.74167,-79.37333,2794356,2021,North America,Energy efficiency measures,Building construction and improvement
15448,Yes,No,2720.8,kt CO2e,1,2031,No,8,All pre-2012 buildings retrofitted,Retrofitting,Buildings,All buildings,251.7 km^2 gross floor area,Building Area,251.7,km^2,Potential/Ex Ante,Emissions accounting,NA,Yes,7,No,NA,Energy consumption,City or Municipal Government,Toronto,Canada,1,No,NA,NA,Yes,sg_1,Toronto,Canada,City,CAN,43.74167,-79.37333,2794356,2021,North America,Retrofitting,Building construction and improvement
15448,Yes,No,425.3,kt CO2e,1,2031,No,8,Post-2012 buildings follow energy efficiency standards,Energy efficiency measures,Buildings,Some buildings,All new multi-family and commercial buildings,Building Area,156.13,km^2,Potential/Ex Ante,Emissions accounting,NA,Yes,7,No,NA,Energy consumption,City or Municipal Government,Toronto,Canada,1,No,NA,NA,Yes,sg_1,Toronto,Canada,City,CAN,43.74167,-79.37333,2794356,2021,North America,Energy efficiency measures,Building construction and improvement
15448,Yes,No,61.3,kt CO2e,1,2031,No,8,Post-2012 homes built to R2000 standards with BTES systems,Energy efficiency measures,Buildings,Some buildings,All new residential buildings,Building Area,95.55,km^2,Potential/Ex Ante,Emissions accounting,NA,Yes,7,No,NA,Energy consumption,City or Municipal Government,Toronto,Canada,1,No,NA,NA,Yes,sg_1,Toronto,Canada,City,CAN,43.74167,-79.37333,2794356,2021,North America,Energy efficiency measures,Building construction and improvement
15448,Yes,No,445.4,kt CO2e,1,2031,No,8,Pre-2012 homes outfitted with solar water heating,"Solar PV thermal, Solar PV cooling, Solar trigeneration CPVT",Buildings,Some buildings,Existing low-rise residential buildings,Building Area,95.55,km^2,Potential/Ex Ante,Emissions accounting,NA,Yes,7,No,NA,Energy consumption,City or Municipal Government,Toronto,Canada,1,No,NA,NA,Yes,sg_1,Toronto,Canada,City,CAN,43.74167,-79.37333,2794356,2021,North America,"Solar PV thermal, Solar PV cooling, Solar trigeneration CPVT",Building energy and heat systems
15448,Yes,No,790.8,kt CO2e,1,2031,No,8,Pre-2012 homes outfitted with ground source heat pumps,"Geothermal heat pumps, ground source heat pumps",Buildings,Some buildings,Existing low-rise residential buildings,Building Area,95.55,km^2,Potential/Ex Ante,Emissions accounting,NA,Yes,7,No,NA,Energy consumption,City or Municipal Government,Toronto,Canada,1,No,NA,NA,Yes,sg_1,Toronto,Canada,City,CAN,43.74167,-79.37333,2794356,2021,North America,"Geothermal heat pumps, ground source heat pumps",Building energy and heat systems
15448,Yes,No,222.8,kt CO2e,1,2031,No,8,Half of apartment buildings outfitted with an aquifer thermal energy storage (ATES) system,"Energy storage, batteries",Buildings,Some buildings,Half of all existing apartment buildings,Building Area,38,km^2,Potential/Ex Ante,Emissions accounting,NA,Yes,7,No,NA,Energy consumption,City or Municipal Government,Toronto,Canada,1,No,NA,NA,Yes,sg_1,Toronto,Canada,City,CAN,43.74167,-79.37333,2794356,2021,North America,"Energy storage, batteries",Building energy and heat systems
15448,Yes,No,966.3,kt CO2e,1,2031,No,8,Commercial solar air heating,"Solar PV thermal, Solar PV cooling, Solar trigeneration CPVT",Buildings,Some buildings,Commercial buildings,Building Area,80.13,km^2,Potential/Ex Ante,Emissions accounting,NA,Yes,7,No,NA,Energy consumption,City or Municipal Government,Toronto,Canada,1,No,NA,NA,Yes,sg_1,Toronto,Canada,City,CAN,43.74167,-79.37333,2794356,2021,North America,"Solar PV thermal, Solar PV cooling, Solar trigeneration CPVT",Building energy and heat systems
15448,Yes,No,0.7,kt CO2e,1,2031,No,8,Green roof initiative to cover 25% of commercial buildings with green roofs,"Cool roof/facade, roof garden, green roof",Buildings,Some buildings,25% of commercial buildings,Building Area,20.0325,km^2,Potential/Ex Ante,Emissions accounting,NA,Yes,7,No,NA,Energy consumption,City or Municipal Government,Toronto,Canada,1,No,NA,NA,Yes,sg_1,Toronto,Canada,City,CAN,43.74167,-79.37333,2794356,2021,North America,"Cool roof/facade, roof garden, green roof",Building construction and improvement
15448,Yes,No,686,kt CO2e,1,2031,No,9,Planned LRT infrastructure changes to subway infrastructure,Public transport,Transport,All Residents,NA,NA,NA,NA,Potential/Ex Ante,Emissions accounting,NA,Yes,7,No,NA,VKT,City or Municipal Government,Toronto,Canada,1,No,NA,NA,No,sg_1,Toronto,Canada,City,CAN,43.74167,-79.37333,2794356,2021,North America,Public transport,Alternative transportation modes
15448,Yes,No,1731,kt CO2e,1,2031,No,9,100% Battery electric vehicles (94 g CO2e/km),"Electric Mobility (EV, HEV)",Transport,All Residents,NA,NA,NA,NA,Potential/Ex Ante,Emissions accounting,NA,Yes,7,No,NA,VKT,City or Municipal Government,Toronto,Canada,1,No,NA,NA,No,sg_1,Toronto,Canada,City,CAN,43.74167,-79.37333,2794356,2021,North America,"Electric Mobility (EV, HEV)",Clean vehicle transportation
15448,Yes,No,27,kt CO2e,1,2031,No,9,Aggressive increase in length of bicycle lanes and bicycle supporting infrastructure,Non-motorized transport,Transport,All Residents,NA,NA,NA,NA,Potential/Ex Ante,Emissions accounting,NA,Yes,7,No,NA,VKT,City or Municipal Government,Toronto,Canada,1,No,NA,NA,No,sg_1,Toronto,Canada,City,CAN,43.74167,-79.37333,2794356,2021,North America,Non-motorized transport,Alternative transportation modes
15448,Yes,No,6.2,kt CO2e,1,2031,No,9,10% Increase in parking Price,Travel demand management,Transport,All Residents,NA,NA,NA,NA,Potential/Ex Ante,Emissions accounting,NA,Yes,7,No,NA,VKT,City or Municipal Government,Toronto,Canada,1,No,NA,NA,No,sg_1,Toronto,Canada,City,CAN,43.74167,-79.37333,2794356,2021,North America,Travel demand management,Transportation system management
15448,Yes,No,134,kt CO2e,1,2031,No,9,VMT tax,Travel demand management,Transport,All Residents,NA,NA,NA,NA,Potential/Ex Ante,Emissions accounting,NA,Yes,7,No,NA,VKT,City or Municipal Government,Toronto,Canada,1,No,NA,NA,No,sg_1,Toronto,Canada,City,CAN,43.74167,-79.37333,2794356,2021,North America,Travel demand management,Transportation system management
15448,Yes,No,19,kt CO2e,1,2031,No,9,Freeway toll,Travel demand management,Transport,All Residents,NA,NA,NA,NA,Potential/Ex Ante,Emissions accounting,NA,Yes,7,No,NA,VKT,City or Municipal Government,Toronto,Canada,1,No,NA,NA,No,sg_1,Toronto,Canada,City,CAN,43.74167,-79.37333,2794356,2021,North America,Travel demand management,Transportation system management
19796,No,Yes,5.3,kgCO2/m2-year,1,Unclear,No,23,High thermal performance building envelope,Energy efficiency measures,Buildings,One commercial building,"South-facing, medium-sized commercial office building with 1650 m^2 floor area",Building Area,1650,m^2,Potential/Ex Ante,Simulation analysis,EnergyPlus simulation analysis model,Yes,9,No,NA,Energy consumption,Regional Government,Jeju,South Korea,1,No,NA,NA,Yes,sg_3,Jeju,South Korea,City,KOR,33.513,126.523,486306,NA,East Asia and the Pacific,Energy efficiency measures,Building construction and improvement
19796,No,Yes,5.7,kgCO2/m2-year,1,Unclear,No,23,High performance building infiltration/air tightness,Energy efficiency measures,Buildings,One commercial building,"South-facing, medium-sized commercial office building with 1650 m^2 floor area",Building Area,1650,m^2,Potential/Ex Ante,Simulation analysis,EnergyPlus simulation analysis model,Yes,9,No,NA,Energy consumption,Regional Government,Jeju,South Korea,1,No,NA,NA,Yes,sg_3,Jeju,South Korea,City,KOR,33.513,126.523,486306,NA,East Asia and the Pacific,Energy efficiency measures,Building construction and improvement
